-23,-1009
-35,-21,-728
-2,-21,-794
-1,-19,-895
5,-17,-1014
8,-16,-1093
-9,-13,-1183
-54,-10,-1235
-66,-9,-1261
-87,-8,-1245
-115,-6,-1192
-113,-7,-1119
-99,-8,-1027
-84,-16,-918
-78,-17,-821
-32,-22,-768
-20,-24,-748
3,-24,-781
12,-23,-855
4,-21,-917
6,-17,-1025
-5,-14,-1123
-58,-13,-1180
-84,-10,-1220
-90,-5,-1233
-116,-9,-1202
-113,-9,-1150
-114,-11,-1074
-59,-15,-960
-55,-18,-866
-29,-19,-801
0,-22,-784
0,-22,-779
15,-22,-823
15,-24,-878
-9,-19,-960
-13,-16,-1054
-40,-11,-1133
-90,-7,-1176
-103,-5,-1204
-115,-6,-1201
-118,-8,-1172
-108,-9,-1119
-71,-10,-1022
-46,-16,-932
-31,-20,-850
3,-22,-812
5,-23,-796
9,-23,-805
14,-23,-836
-7,-16,-910
-27,-16,-991
-49,-16,-1075
-81,-11,-1143
-108,-6,-1181
-124,-7,-1195
-111,-5,-1184
-106,-8,-1117
-64,-11,-1059
-44,-14,-979
-30,-17,-897
0,-23,-844
1,-21,-825
7,-21,-815
7,-23,-834
-15,-18,-881
-32,-18,-956
-58,-14,-1038
-84,-8,-1109
-98,-6,-1157
-119,-5,-1173
-116,-6,-1175
-99,-9,-1152
-79,-11,-1100
-52,-13,-1027
-34,-16,-953
-11,-20,-890
1,-20,-846
0,-20,-829
0,-19,-839
-14,-19,-877
-36,-16,-932
-60,-11,-1011
-81,-10,-1076
-96,-7,-1133
-108,-7,-1160
-110,-6,-1163
-93,-9,-1149
-77,-9,-1110
-45,-14,-1055
-29,-16,-967
-18,-19,-922
1,-21,-872
-8,-19,-848
-11,-20,-849
-31,-18,-880
-50,-13,-936
-67,-13,-1000
-85,-10,-1067
-96,-8,-1117
-102,-8,-1143
-98,-6,-1152
-81,-9,-1141
-64,-11,-1107
-40,-12,-1056
-23,-17,-996
-20,-19,-939
-8,-20,-886
-18,-21,-862
-24,-18,-862
-39,-16,-891
-59,-15,-938
-72,-15,-995
-85,-12,-1058
-90,-9,-1103
-93,-9,-1131
-87,-9,-1138
-67,-11,-1127
-56,-12,-1099
-36,-13,-1055
-21,-15,-1001
-20,-18,-949
-17,-16,-906
-28,-19,-878
-36,-17,-878
-49,-14,-899
-66,-12,-937
-73,-13,-994
-80,-11,-1043
-83,-9,-1088
-85,-10,-1119
-74,-12,-1129
-56,-12,-1124
-44,-13,-1088
-27,-15,-1043
-24,-16,-996
-25,-17,-948
-31,-17,-909
-41,-17,-889
-49,-16,-890
-64,-15,-913
-74,-13,-953
-76,-10,-1002
-73,-12,-1043
-69,-11,-1089
-68,-11,-1109
-56,-13,-1116
-42,-12,-1110
-38,-15,-1086
-32,-15,-1037
-29,-12,-985
-37,-15,-948
-47,-17,-913
-53,-17,-899
-64,-15,-901
-66,-14,-926
-68,-14,-961
-68,-11,-990
-61,-9,-1034
-60,-11,-1069
-52,-12,-1100
-43,-15,-1104
-38,-13,-1095
-34,-14,-1074
-36,-16,-1040
-41,-13,-1009
-50,-16,-962
-53,-15,-947
-59,-13,-926
-63,-18,-923
-65,-16,-935
-61,-15,-958
-57,-12,-986
-49,-16,-1018
-46,-15,-1047
-39,-15,-1070
-38,-16,-1091
-35,-12,-1090
-39,-13,-1075
-48,-14,-1050
-54,-15,-1016
-61,-13,-990
-61,-16,-963
-66,-16,-944
-60,-14,-931
-57,-15,-939
-53,-15,-948
-42,-17,-980
-38,-16,-1004
-34,-15,-1030
-33,-16,-1058
-35,-14,-1079
-42,-15,-1081
-48,-13,-1075
-56,-13,-1052
-64,-14,-1026
-71,-15,-997
-68,-14,-976
-63,-14,-956
-59,-16,-947
-47,-14,-947
-39,-16,-957
-32,-16,-978
-26,-16,-999
-27,-17,-1018
-38,-15,-1040
-46,-15,-1056
-54,-14,-1067
-64,-14,-1063
-64,-13,-1055
-61,-13,-1035
-61,-13,-1013
-55,-14,-992
-51,-16,-981
-43,-15,-966
-37,-15,-961
-42,-16,-965
-33,-14,-978
-35,-14,-989
-71,-10,-1006
-73,-13,-1016
-62,-13,-1035
-65,-13,-1040
-60,-16,-1040
-80,-14,-1031
-48,-17,-1029
-50,-14,-1016
-44,-16,-1005
-35,-15,-1001
-21,-15,-985
-19,-15,-980
-25,-16,-977
-26,-17,-986
-37,-15,-987
-52,-15,-1000
-72,-13,-1015
-78,-12,-1025
-85,-11,-1035
-82,-10,-1037
-75,-10,-1034
-64,-11,-1026
-51,-11,-1016
-34,-13,-1002
-30,-16,-992
-22,-17,-987
-28,-17,-984
-35,-15,-983
-45,-13,-986
-63,-13,-994
-68,-10,-1005
-80,-9,-1022
-81,-11,-1028
-81,-13,-1035
-73,-15,-1035
-61,-13,-1033
-56,-14,-1018
-39,-13,-1012
-26,-15,-1002
-30,-14,-991
-25,-14,-991
-36,-14,-988
-46,-14,-988
-59,-13,-990
-66,-8,-996
-71,-25,-993
-60,-22,-999
-117,-6,-990
-29,-7,-1020
-75,-5,-1006
-81,-11,-1015
-56,-16,-1020
-88,-14,-1007
-92,-18,-996
-112,-12,-998
-51,-16,-1012
-81,-14,-1010
-31,-17,-1031
-22,-17,-1032
-1,-20,-1036
29,-22,-1049
30,-18,-1035
38,-24,-1029
29,-21,-1018
24,-18,-1006
-2,-19,-996
-33,-15,-986
-67,-14,-988
-96,-12,-987
-95,-12,-994
-79,-14,-1004
-87,-14,-1005
-71,-12,-1015
-55,-15,-1021
-38,-13,-1022
-13,-17,-1020
-8,-15,-1016
-1,-17,-1010
-3,-18,-1009
-16,-19,-1006
-34,-17,-1003
-59,-15,-997
-73,-12,-1000
-82,-12,-1004
-86,-13,-1004
-82,-11,-1007
-64,-13,-1015
-50,-15,-1015
-26,-17,-1016
-12,-15,-1017
-6,-19,-1018
-7,-20,-1014
-16,-18,-1011
-33,-17,-1008
-49,-16,-1007
-65,-18,-1000
-74,-15,-997
-86,-13,-997
-80,-12,-1001
-65,-12,-1001
-53,-12,-1007
-36,-14,-1009
-24,-16,-1013
-13,-18,-1015
-9,-19,-1015
-16,-19,-1013
-24,-17,-1011
-43,-15,-1009
-59,-13,-1007
-73,-13,-1006
-77,-13,-1004
-80,-14,-1003
-75,-11,-1002
-55,-15,-1005
-40,-17,-1007
-27,-18,-1013
-14,-17,-1012
-11,-19,-1016
-13,-18,-1017
-29,-15,-1014
-40,-18,-1009
-55,-15,-1005
-70,-14,-1002
-76,-13,-1006
-80,-13,-998
-69,-15,-1003
-62,-13,-1004
-45,-13,-1005
-31,-16,-1008
-16,-16,-1010
-12,-18,-1014
-18,-17,-1018
-22,-17,-1018
-42,-16,-1016
-54,-15,-1012
-66,-12,-1013
-73,-10,-1010
-76,-11,-1006
-74,-12,-1003
-61,-11,-1004
-47,-15,-1002
-37,-16,-1002
-23,-17,-1002
-17,-20,-1006
-23,-18,-1007
-22,-17,-1012
-39,-13,-1017
-49,-15,-1019
-62,-16,-1018
-72,-13,-1015
-77,-13,-1013
-73,-11,-1007
-63,-12,-1005
-54,-13,-1003
-43,-14,-997
-30,-18,-1004
-28,-19,-1000
-24,-16,-1005
-28,-19,-1008
-33,-17,-1018
-37,-11,-1022
-53,-8,-1013
-74,-9,-1007
-79,-17,-1011
-77,-22,-1020
-88,-21,-1027
