,1019
144,-148,998
143,-137,986
153,-134,986
181,-133,983
214,-135,985
220,-133,995
201,-126,1006
187,-117,1015
218,-113,1033
263,-115,1044
270,-114,1044
236,-104,1041
197,-94,1038
159,-83,1024
143,-77,1015
135,-81,1003
135,-79,995
149,-77,987
164,-71,992
175,-71,1002
190,-71,1008
205,-73,1016
199,-73,1030
213,-71,1033
236,-73,1035
234,-65,1041
208,-60,1042
175,-59,1032
161,-59,1018
170,-59,1009
167,-56,1004
158,-52,999
156,-51,1000
149,-49,1001
149,-52,1006
145,-52,1016
140,-52,1024
123,-50,1032
80,-46,1036
34,-46,1040
-10,-45,1040
-34,-42,1036
-31,-39,1034
-26,-36,1023
-21,-36,1015
-7,-37,1006
12,-42,1004
34,-44,998
55,-44,1000
80,-48,1007
92,-48,1017
98,-48,1023
94,-48,1033
81,-52,1040
151,-56,1037
185,-53,1039
234,-60,1028
281,-69,1018
302,-70,1012
308,-73,1003
312,-75,1000
319,-78,998
320,-79,1000
319,-80,1002
304,-84,1008
285,-91,1017
259,-95,1021
234,-99,1032
222,-100,1038
203,-103,1041
198,-106,1036
186,-114,1028
180,-116,1023
206,-120,1011
231,-125,999
224,-129,991
216,-139,987
203,-146,982
183,-148,991
181,-151,1000
176,-155,1014
170,-163,1025
146,-172,1034
130,-177,1039
133,-180,1035
134,-176,1030
121,-184,1021
107,-190,1011
96,-190,1003
107,-194,994
112,-191,990
116,-198,991
118,-206,998
103,-212,1006
83,-214,1015
59,-213,1023
55,-219,1034
47,-217,1037
38,-207,1036
33,-213,1030
47,-221,1024
52,-223,1017
37,-213,1006
10,-200,999
-5,-199,997
-25,-210,995
-31,-208,1006
-33,-211,1004
-67,-198,1016
-63,-181,1027
-76,-172,1037
-71,-191,1034
-55,-189,1033
-50,-188,1034
-39,-166,1023
-60,-160,1015
-63,-156,998
-75,-146,998
-89,-135,997
-106,-121,996
-134,-120,1011
-114,-125,1021
-121,-145,1026
-137,-93,1035
-111,-92,1040
-122,-95,1038
-83,-119,1048
-71,-119,1040
-46,-105,1026
0,-87,1007
-30,-92,1003
-31,-85,993
-25,-88,986
-65,-81,992
-65,-83,1001
-54,-80,1009
-65,-71,1027
-36,-79,1031
-5,-83,1039
19,-79,1040
65,-83,1039
76,-80,1042
76,-81,1035
30,-75,1030
-17,-73,1024
-21,-74,1015
-13,-79,1007
-2,-73,1004
28,-70,997
13,-61,1000
-6,-60,1005
-21,-62,1007
-51,-57,1017
-72,-58,1026
-79,-58,1033
-89,-61,1050
-68,-65,1051
-81,-60,1048
-90,-45,1044
-83,-40,1031
-96,-36,1020
-94,-38,1009
-106,-37,1005
-120,-34,996
-116,-32,994
-103,-34,1000
-96,-33,1007
-89,-32,1017
-91,-32,1030
-88,-30,1044
-95,-29,1051
-84,-31,1052
-75,-31,1047
-75,-31,1036
-72,-31,1027
-67,-32,1017
-65,-28,1005
-42,-32,996
3,-33,993
39,-37,996
92,-40,1004
126,-45,1015
135,-43,1025
122,-45,1030
108,-44,1033
91,-43,1029
69,-40,1018
1,-34,1007
-11,-34,1006
-9,-35,1004
-50,-27,1019
-15,-29,1021
5,-39,1034
-24,-45,1048
-54,-40,1044
-105,-34,1052
-103,-31,1041
-134,-30,1034
-144,-27,1026
-132,-26,1017
-149,-27,1009
-169,-30,1002
-176,-36,999
-153,-39,1007
-130,-45,1010
-116,-47,1019
-113,-48,1034
-110,-52,1040
-116,-53,1042
-135,-58,1044
-146,-57,1032
-141,-62,1027
-127,-70,1017
-115,-73,1010
-116,-80,1008
-134,-83,1004
-144,-84,1009
-139,-88,1013
-125,-95,1017
-97,-104,1022
-75,-111,1028
-48,-119,1032
-46,-123,1035
-29,-130,1035
-31,-128,1028
-21,-124,1019
4,-127,1007
22,-128,1002
33,-130,1001
41,-132,1001
36,-133,1007
53,-133,1007
65,-135,1018
46,-133,1027
46,-135,1030
48,-134,1035
36,-127,1032
51,-131,1032
21,-128,1027
22,-133,1029
-2,-134,1022
2,-133,1013
5,-130,1003
14,-134,997
15,-132,997
18,-134,1002
15,-131,1007
7,-131,1016
0,-135,1017
2,-136,1031
16,-140,1034
24,-144,1036
11,-142,1037
5,-136,1026
-5,-140,1022
6,-139,1013
16,-139,1007
34,-141,998
41,-141,996
40,-141,999
41,-141,1001
44,-147,1009
54,-149,1024
63,-152,1027
71,-151,1034
57,-154,1037
40,-150,1039
35,-149,1036
34,-148,1028
39,-148,1025
43,-143,1008
45,-141,1001
44,-136,996
31,-134,995
43,-136,994
58,-139,1003
76,-140,1010
95,-139,1014
97,-135,1024
117,-133,1029
127,-128,1035
125,-136,1034
133,-139,1032
145,-133,1020
155,-127,1017
156,-119,1009
155,-115,995
160,-112,994
166,-113,990
174,-112,1000
165,-99,1012
152,-98,1021
136,-95,1031
135,-97,1042
149,-97,1044
161,-97,1040
161,-89,1035
149,-85,1032
140,-80,1020
127,-81,1009
118,-79,1000
103,-73,997
